chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,position
,,111478,0,0,0,0,0,2,1.1,0.6,0,Joël,0.0,67,False,,,45,111478.jpg,0.0,Veltman,0.4,False,,a,Brighton,36,0,441,441,561,561,0.0,0.0,Veltman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,242,101,235,101,197,88,248,101,,,,,,,Defender
,,115382,0,0,0,0,0,4,1.6,1.1,0,Neal,0.0,68,False,,,65,115382.jpg,0.0,Maupay,1.7,False,,a,Brighton,36,0,1546,1546,3320,3320,0.0,0.0,Maupay,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,497,58,498,58,495,58,498,58,,,,,1.0,,Forward
,,116216,0,0,0,0,0,3,1.6,1.1,0,Leandro,0.0,69,False,,,60,116216.jpg,0.0,Trossard,0.4,False,,a,Brighton,36,0,344,344,818,818,0.0,0.0,Trossard,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,475,184,475,185,471,181,477,185,5.0,,,,,,Midfielder
,,131897,0,0,0,0,0,1,1.2,0.7,0,Mathew,0.0,70,False,,,45,131897.jpg,0.0,Ryan,19.0,False,,a,Brighton,36,0,13603,13603,10635,10635,0.0,0.0,Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,246,42,239,32,201,32,252,42,,,,,,,Goalkeeper
,,165210,0,0,0,0,0,3,1.3,0.8,0,Alireza,0.0,71,False,,,55,165210.jpg,0.0,Jahanbakhsh,0.1,False,,a,Brighton,36,0,50,50,121,121,0.0,0.0,Jahanbakhsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,431,162,432,162,422,155,434,163,,,,,,,Midfielder
0.0,0.0,167473,0,0,0,0,0,3,0.0,0.0,0,José,0.0,72,False,Knee injury - Unknown return date,2020-08-15T10:00:11.482611Z,55,167473.jpg,0.0,Izquierdo,0.0,False,,i,Brighton,36,0,6,6,8,8,0.0,0.0,Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,432,163,433,163,424,157,435,164,,,,,,,Midfielder
0.0,0.0,178173,0,0,0,0,0,2,0.0,0.0,0,Matthew,0.0,73,False,Joined Derby County on loan until the end of the season on 26/8. - Expected back 01 Jul,2020-08-26T10:30:05.746418Z,45,178173.jpg,0.0,Clarke,0.0,False,,n,Brighton,36,0,6,6,61,61,0.0,0.0,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,259,112,253,112,218,101,265,112,,,,,,,Defender
,,198869,0,0,0,0,0,2,1.1,0.6,0,Ben,0.0,74,False,,,45,198869.jpg,0.0,White,1.8,False,,a,Brighton,36,0,1261,1261,1794,1794,0.0,0.0,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,266,116,260,116,226,106,272,116,,,,,,,Defender
,,209362,0,0,0,0,0,2,0.5,0.0,0,Bernardo,0.0,75,False,,,40,209362.jpg,0.0,Fernandes da Silva Junior,14.1,False,,a,Brighton,36,0,11729,11729,11166,11166,0.0,0.0,Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,170,55,162,55,112,33,177,55,,,,,,,Defender
,,227127,0,0,0,0,0,3,0.5,0.0,0,Yves,0.0,76,False,,,45,227127.jpg,0.0,Bissouma,4.5,False,,a,Brighton,36,0,3313,3313,4057,4057,0.0,0.0,Bissouma,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,285,95,279,96,249,73,291,98,,,,,,,Midfielder
,,232792,0,0,0,0,0,2,1.1,0.6,0,Tariq,0.0,77,False,,,45,232792.jpg,0.0,Lamptey,2.0,False,,a,Brighton,36,0,1682,1682,1850,1850,0.0,0.0,Lamptey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,286,125,280,125,251,117,292,125,,,,,,,Defender
,,233425,0,0,0,0,0,4,1.0,0.5,0,Aaron,0.0,78,False,,,55,233425.jpg,0.0,Connolly,0.6,False,,a,Brighton,36,0,853,853,1147,1147,0.0,0.0,Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,447,39,448,40,440,40,449,40,,,,,,,Forward
,,235382,0,0,0,0,0,3,0.5,0.0,0,Steven,0.0,79,False,,,45,235382.jpg,0.0,Alzate,0.4,False,,a,Brighton,36,0,405,405,565,565,0.0,0.0,Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,291,98,285,99,256,77,297,101,,,,,,,Midfielder
,,243016,0,0,0,0,0,3,1.3,0.8,0,Alexis,0.0,80,False,,,55,243016.jpg,0.0,Mac Allister,0.1,False,,a,Brighton,36,0,68,68,105,105,0.0,0.0,Mac Allister,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,448,170,449,171,441,165,450,171,2.0,,3.0,,,,Midfielder
0.0,0.0,108813,0,0,0,0,0,1,0.0,0.0,0,Christian,0.0,503,False,Ankle injury - Unknown return date,2020-09-12T09:00:11.155698Z,40,108813.jpg,0.0,Walton,1.8,False,,i,Brighton,36,0,886,886,3712,3712,0.0,0.0,Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,165,19,157,7,107,7,172,19,,,,,,,Goalkeeper
,,17761,0,0,0,0,0,2,2.0,0.0,0,James,0.0,81,False,,,55,17761.jpg,0.0,Tarkowski,6.4,False,,a,Burnley,90,0,2935,2935,7384,7384,0.0,0.0,Tarkowski,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,392,168,392,168,378,165,396,168,,,,,,,Defender
,,17997,0,0,0,0,0,2,1.1,0.0,0,Phil,0.0,82,False,,,45,17997.jpg,0.0,Bardsley,0.6,False,,a,Burnley,90,0,841,841,665,665,0.0,0.0,Bardsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,188,70,180,70,132,50,195,70,,,,,,,Defender
,,39487,0,0,0,0,0,2,1.1,0.0,0,Erik,0.0,83,False,,,45,39487.jpg,0.0,Pieters,1.4,False,,a,Burnley,90,0,2179,2179,1665,1665,0.0,0.0,Pieters,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,197,74,189,74,141,54,204,74,,,,,,,Defender
0.0,0.0,40145,0,0,0,0,0,3,0.0,0.0,0,Jack,0.0,84,False,Ankle injury - Unknown return date,2020-08-15T10:00:11.504829Z,50,40145.jpg,0.0,Cork,0.0,False,,i,Burnley,90,0,10,10,94,94,0.0,0.0,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,304,104,300,105,272,84,310,107,,,,,,,Midfielder
,,41674,0,0,0,0,0,2,1.1,0.0,0,Kevin,0.0,85,False,,,45,41674.jpg,0.0,Long,0.2,False,,a,Burnley,90,0,266,266,301,301,0.0,0.0,Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,203,76,195,76,147,56,210,76,,,,,,,Defender
,,44683,0,0,0,0,0,4,1.3,0.0,0,Jay,0.0,86,False,,,60,44683.jpg,0.0,Rodriguez,0.9,False,,a,Burnley,90,0,1264,1264,1892,1892,0.0,0.0,Rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,456,42,457,43,450,43,458,43,,,,,3.0,,Forward
0.0,0.0,44699,0,0,0,0,0,4,0.0,0.0,0,Ashley,0.0,87,False,Groin Injury - Unknown return date,2020-09-07T00:30:12.603985Z,60,44699.jpg,0.0,Barnes,0.1,False,,i,Burnley,90,0,52,52,1127,1127,0.0,0.0,Barnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,457,43,458,44,451,44,459,44,,,,,1.0,,Forward
0.0,0.0,51927,0,0,0,0,0,2,0.0,0.0,0,Ben,0.0,88,False,Thigh injury - Unknown return date,2020-09-07T00:30:12.617922Z,50,51927.jpg,0.0,Mee,0.4,False,,i,Burnley,90,0,48,48,2652,2652,0.0,0.0,Mee,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,309,134,306,134,280,126,315,134,,,,,,,Defender
,,60551,0,0,0,0,0,3,1.3,0.0,0,Ashley,0.0,89,False,,,55,60551.jpg,0.0,Westwood,1.0,False,,a,Burnley,90,0,283,283,1613,1613,0.0,0.0,Westwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,405,150,407,150,393,139,409,151,1.0,,3.0,,,,Midfielder
,,60586,0,0,0,0,0,3,1.3,0.0,0,Johann Berg,0.0,90,False,,,55,60586.jpg,0.0,Gudmundsson,0.1,False,,a,Burnley,90,0,90,90,185,185,0.0,0.0,Gudmundsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,406,151,408,151,394,140,410,152,3.0,,2.0,,,,Midfielder
,,60689,0,0,0,0,0,4,1.6,0.0,0,Chris,0.0,91,False,,,65,60689.jpg,0.0,Wood,2.4,False,,a,Burnley,90,0,2982,2982,4762,4762,0.0,0.0,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,493,57,494,57,490,57,494,57,,,,,1.0,,Forward
,,68983,0,0,0,0,0,2,1.1,0.0,0,Matthew,0.0,92,False,,,45,68983.jpg,0.0,Lowton,0.2,False,,a,Burnley,90,0,137,137,181,181,0.0,0.0,Lowton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,218,85,210,85,167,69,224,85,,,,,,,Defender
,,81183,0,0,0,0,0,4,0.8,0.0,0,Matej,0.0,93,False,,,50,81183.jpg,0.0,Vydra,0.7,False,,a,Burnley,90,0,2682,2682,1774,1774,0.0,0.0,Vydra,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,327,24,325,26,301,27,332,27,,,,,,,Forward
0.0,0.0,83312,0,0,0,0,0,2,0.0,0.0,0,Ben,0.0,94,False,Joined Norwich City on loan until the end of the season on 4/9. - Expected back 01 Jul,2020-09-05T11:00:07.592134Z,40,83312.jpg,0.0,Gibson,0.3,False,,n,Burnley,90,0,117,117,1332,1332,0.0,0.0,Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,163,51,155,51,105,29,170,51,,,,,,,Defender
,,90517,0,0,0,0,0,3,0.9,0.0,0,Robbie,0.0,95,False,,,50,90517.jpg,0.0,Brady,0.1,False,,a,Burnley,90,0,122,122,152,152,0.0,0.0,Brady,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,331,118,329,118,305,100,336,120,4.0,,4.0,,,,Midfielder
,,98747,0,0,0,0,0,1,2.7,0.0,0,Nick,0.0,96,False,,,55,98747.jpg,0.0,Pope,17.3,False,,a,Burnley,90,0,10740,10740,13113,13113,0.0,0.0,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,419,52,420,51,408,51,422,52,,,,,,,Goalkeeper
,,103914,0,0,0,0,0,2,1.1,0.0,0,Charlie,0.0,97,False,,,45,103914.jpg,0.0,Taylor,5.1,False,,a,Burnley,90,0,5197,5197,4520,4520,0.0,0.0,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,234,94,227,94,189,81,240,94,,,,,,,Defender
,,172782,0,0,0,0,0,3,0.9,0.0,0,Josh,0.0,98,False,,,50,172782.jpg,0.0,Brownhill,0.0,False,,a,Burnley,90,0,49,49,95,95,0.0,0.0,Brownhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,359,129,358,129,341,114,364,131,,,,,,,Midfielder
,,220037,0,0,0,0,0,1,0.5,0.0,0,Bailey,0.0,99,False,,,40,220037.jpg,0.0,Peacock-Farrell,1.5,False,,a,Burnley,90,0,1450,1450,662,662,0.0,0.0,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,176,22,168,10,118,10,183,22,,,,,,,Goalkeeper
,,433154,0,0,0,0,0,3,1.6,0.0,0,Dwight,0.0,100,False,,,60,433154.jpg,0.0,McNeil,1.0,False,,a,Burnley,90,0,568,568,1692,1692,0.0,0.0,McNeil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,490,189,491,190,487,187,491,190,2.0,,1.0,,,,Midfielder
,,218023,0,0,0,0,0,2,0.5,0.0,0,Jimmy,0.0,519,False,,,40,218023.jpg,0.0,Dunne,0.5,False,,a,Burnley,90,0,1821,1821,567,567,0.0,0.0,Dunne,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,175,59,167,59,117,37,182,59,,,,,,,Defender
,,461102,0,0,0,0,0,2,0.5,0.0,0,Bobby,0.0,520,False,,,40,461102.jpg,0.0,Thomas,0.4,False,,a,Burnley,90,0,1190,1190,516,516,0.0,0.0,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,183,66,175,66,127,46,190,66,,,,,,,Defender
,,20310,0,0,0,0,0,1,2.0,3.5,0,Willy,0.0,101,False,,,50,20310.jpg,0.0,Caballero,0.4,False,,a,Chelsea,8,0,298,298,601,601,0.0,0.0,Caballero,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,300,45,295,37,267,37,306,45,,,,,,,Goalkeeper
,,41328,0,0,0,0,0,2,2.4,3.9,0,César,0.0,102,False,,,60,41328.jpg,0.0,Azpilicueta,8.1,False,,a,Chelsea,8,0,3648,3648,9931,9931,0.0,0.0,Azpilicueta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,454,187,455,187,448,185,456,187,,,,,,,Defender
,,44346,0,0,0,0,0,4,1.8,3.3,0,Olivier,0.0,103,False,,,70,44346.jpg,0.0,Giroud,1.4,False,,a,Chelsea,8,0,1497,1497,2921,2921,0.0,0.0,Giroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,505,59,505,59,502,59,505,59,,,5.0,,,,Forward
,,82263,0,0,0,0,0,2,2.4,3.9,0,Marcos,0.0,104,False,,,60,82263.jpg,0.0,Alonso,3.6,False,,a,Chelsea,8,0,1694,1694,4271,4271,0.0,0.0,Alonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,464,189,464,189,459,187,466,189,,,2.0,,,,Defender
,,85955,0,0,0,0,0,3,0.9,2.4,0,Jorge Luiz,0.0,105,False,,,50,85955.jpg,0.0,Frello Filho,1.8,False,,a,Chelsea,8,0,1988,1988,2977,2977,0.0,0.0,Jorginho,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,330,117,328,117,304,99,335,119,,,,,1.0,,Midfielder
,,88894,0,0,0,0,0,3,1.6,3.1,0,Ross,0.0,106,False,,,60,88894.jpg,0.0,Barkley,0.3,False,,a,Chelsea,8,0,492,492,747,747,0.0,0.0,Barkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,466,179,466,180,461,176,468,180,2.0,,3.0,,2.0,,Midfielder
0.0,0.0,91651,0,0,0,0,0,3,0.0,0.0,0,Mateo,0.0,107,False,Suspended until 20 Sep,2020-08-15T10:00:11.528964Z,55,91651.jpg,0.0,Kovacic,0.1,False,,s,Chelsea,8,0,336,336,702,702,0.0,0.0,Kovacic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,416,154,418,154,406,145,420,155,,,,,,,Midfielder
,,102380,0,0,0,0,0,2,1.6,3.1,0,Antonio,0.0,109,False,,,50,102380.jpg,0.0,Rüdiger,2.4,False,,a,Chelsea,8,0,2547,2547,3651,3651,0.0,0.0,Rüdiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,335,144,333,144,311,139,340,144,,,,,,,Defender
,,103192,0,0,0,0,0,2,1.6,3.1,0,Kurt,0.0,110,False,,,50,103192.jpg,0.0,Zouma,1.0,False,,a,Chelsea,8,0,1032,1032,1521,1521,0.0,0.0,Zouma,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,336,145,334,145,312,140,341,145,,,,,,,Defender
,,109533,0,0,0,0,0,2,1.6,3.1,0,Emerson,0.0,111,False,,,50,109533.jpg,0.0,Palmieri dos Santos,0.2,False,,a,Chelsea,8,0,206,206,310,310,0.0,0.0,Emerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,341,149,339,149,318,145,346,149,5.0,,4.0,,,,Defender
,,109745,0,0,0,0,0,1,2.0,3.5,0,Kepa,0.0,112,False,,,50,109745.jpg,0.0,Arrizabalaga,2.3,False,,a,Chelsea,8,0,2447,2447,3469,3469,0.0,0.0,Arrizabalaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,342,48,340,44,319,44,347,48,,,,,,,Goalkeeper
,,116594,0,0,0,0,0,3,0.9,2.4,0,N'Golo,0.0,113,False,,,50,116594.jpg,0.0,Kanté,4.5,False,,a,Chelsea,8,0,9120,9120,7490,7490,0.0,0.0,Kanté,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,346,121,345,121,324,103,351,123,,,,,,,Midfielder
0.0,0.0,124183,0,0,0,0,0,3,0.0,0.0,0,Hakim,0.0,114,False,Knee injury - Expected back 26 Sep,2020-08-29T17:30:07.487245Z,80,124183.jpg,0.0,Ziyech,2.0,False,,i,Chelsea,8,0,1257,1257,20130,20130,0.0,0.0,Ziyech,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,515,209,515,209,515,209,515,209,,,,,,,Midfielder
,,126187,0,0,0,0,0,3,1.6,3.1,0,Ruben,0.0,115,False,,,60,126187.jpg,0.0,Loftus-Cheek,0.2,False,,a,Chelsea,8,0,119,119,351,351,0.0,0.0,Loftus-Cheek,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,477,185,478,186,474,182,479,186,,,,,,,Midfielder
,,135363,0,0,0,0,0,2,1.6,3.1,0,Andreas,0.0,116,False,,,50,135363.jpg,0.0,Christensen,0.3,False,,a,Chelsea,8,0,395,395,482,482,0.0,0.0,Christensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,348,153,347,153,327,149,353,153,,,,,,,Defender
,,165153,0,0,0,0,0,4,3.0,4.5,0,Timo,0.0,117,False,,,95,165153.jpg,0.0,Werner,48.9,False,,a,Chelsea,8,0,20720,20720,32205,32205,0.0,0.0,Werner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,521,63,521,63,521,63,521,63,,,,,,,Forward
,,173879,0,0,0,0,0,4,2.1,3.6,0,Tammy,0.0,118,False,,,75,173879.jpg,0.0,Abraham,4.8,False,,a,Chelsea,8,0,1912,1912,6953,6953,0.0,0.0,Abraham,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,512,60,512,60,512,60,512,60,,,,,3.0,,Forward
100.0,100.0,176413,0,0,0,0,0,3,2.4,3.9,0,Christian,0.0,119,False,,2020-08-15T10:00:11.562980Z,85,176413.jpg,0.0,Pulisic,11.5,False,,a,Chelsea,8,0,13949,13949,17321,17321,0.0,0.0,Pulisic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,518,211,518,211,518,211,518,211,6.0,,,,,,Midfielder
,,184341,0,0,0,0,0,3,1.9,3.4,0,Mason,0.0,120,False,,,70,184341.jpg,0.0,Mount,8.6,False,,a,Chelsea,8,0,3503,3503,16335,16335,0.0,0.0,Mount,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,508,203,508,203,507,203,508,203,1.0,,1.0,,,,Midfielder
,,194794,0,0,0,0,0,2,1.6,3.1,0,Fikayo,0.0,121,False,,,50,194794.jpg,0.0,Tomori,0.4,False,,a,Chelsea,8,0,287,287,896,896,0.0,0.0,Tomori,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,363,159,363,159,347,156,368,159,,,,,,,Defender
,,209046,0,0,0,0,0,3,1.6,3.1,0,Callum,0.0,122,False,,,60,209046.jpg,0.0,Hudson-Odoi,0.5,False,,a,Chelsea,8,0,498,498,1351,1351,0.0,0.0,Hudson-Odoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,486,188,487,189,483,185,488,189,3.0,,,,,,Midfielder
,,225796,0,0,0,0,0,2,1.6,3.1,0,Reece,0.0,123,False,,,50,225796.jpg,0.0,James,5.1,False,,a,Chelsea,8,0,3567,3567,7141,7141,0.0,0.0,James,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,384,166,383,166,369,163,388,166,4.0,,,,,,Defender
0.0,0.0,243568,0,0,0,0,0,3,0.0,0.0,0,Billy,0.0,124,False,Knee injury - Expected back 07 Nov,2020-08-15T10:00:11.591471Z,45,243568.jpg,0.0,Gilmour,0.2,False,,i,Chelsea,8,0,260,260,607,607,0.0,0.0,Gilmour,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,292,99,286,100,257,78,298,102,,,,,,,Midfielder
0.0,0.0,172850,0,0,0,0,0,2,0.0,0.0,0,Benjamin,0.0,232,False,Heel Injury - Unknown return date,2020-08-15T10:00:11.852853Z,55,172850.jpg,0.0,Chilwell,1.2,False,,i,Chelsea,8,0,1263,1263,4390,4390,0.0,0.0,Chilwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,438,183,438,183,430,181,440,183,,,,,,,Defender
25.0,25.0,51090,0,0,0,0,0,2,0.5,0.9,0,Thiago,0.0,490,False,Lack of match fitness - 25% chance of playing,2020-09-10T14:00:07.889166Z,55,51090.jpg,0.0,Thiago,2.9,False,,d,Chelsea,8,0,1788,1788,13595,13595,0.0,0.0,Thiago Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,401,172,403,172,388,169,405,172,,,,,,,Defender
,,219847,0,0,0,0,0,3,2.4,3.9,0,Kai,0.0,500,False,,,85,219847.jpg,0.0,Havertz,13.2,False,,a,Chelsea,8,0,14942,14942,20580,20580,0.0,0.0,Havertz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,519,212,519,212,519,212,519,212,,,,,,,Midfielder
,,94245,0,0,0,0,0,4,1.3,1.8,0,Michy,0.0,108,False,,,60,94245.jpg,0.0,Batshuayi,2.2,False,,a,Crystal Palace,31,0,4796,4796,8560,8560,0.0,0.0,Batshuayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,469,46,469,46,464,47,471,47,,,,,,,Forward
0.0,0.0,19419,0,0,0,0,0,2,0.0,0.0,0,Gary,0.0,125,False,Hamstring injury - Unknown return date,2020-08-15T10:00:11.611500Z,45,19419.jpg,0.0,Cahill,0.1,False,,i,Crystal Palace,31,0,80,80,341,341,0.0,0.0,Cahill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,190,71,182,71,134,51,197,71,,,,,,,Defender
,,20066,0,0,0,0,0,1,1.2,1.7,0,Wayne,0.0,126,False,,,45,20066.jpg,0.0,Hennessey,0.9,False,,a,Crystal Palace,31,0,781,781,1710,1710,0.0,0.0,Hennessey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,191,25,183,13,135,13,198,25,,,,,,,Goalkeeper
0.0,0.0,40784,0,0,0,0,0,2,0.0,0.0,0,Mamadou,0.0,127,False,Muscle injury - Unknown return date,2020-08-15T10:00:11.633422Z,45,40784.jpg,0.0,Sakho,0.0,False,,i,Crystal Palace,31,0,27,27,121,121,0.0,0.0,Sakho,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,201,75,193,75,145,55,208,75,,,,,,,Defender
,,40836,0,0,0,0,1,1,2.0,2.5,10,Vicente,10.0,128,True,,,50,40836.jpg,10.0,Guaita,2.1,False,,a,Crystal Palace,31,10,10088,10088,2823,2823,2.0,2.0,Guaita,90,0,0,1,0,0,0,0,0,0,5,3,31,41.4,0.0,0.0,4.1,8,1,302,39,274,39,50,1,,,,,,,Goalkeeper
0.0,0.0,49413,0,0,0,0,0,2,0.0,0.0,0,James,0.0,129,False,Thigh injury - Unknown return date,2020-08-15T10:00:11.660937Z,45,49413.jpg,0.0,Tomkins,0.0,False,,i,Crystal Palace,31,0,9,9,31,31,0.0,0.0,Tomkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,207,79,199,79,152,60,214,79,,,,,,,Defender
,,50471,0,0,0,0,0,3,1.3,1.8,3,James,3.0,130,False,,,55,50471.jpg,3.0,McArthur,0.2,False,,a,Crystal Palace,31,3,354,354,458,458,0.5,0.5,McArthur,90,0,0,1,0,0,0,0,0,0,0,0,14,11.2,10.4,6.0,2.8,87,32,59,32,64,36,76,35,,,,,,,Midfielder
,,50472,0,0,0,0,0,3,0.5,1.0,2,James,2.0,131,False,,,45,50472.jpg,2.0,McCarthy,2.6,False,,a,Crystal Palace,31,2,6693,6693,4084,4084,0.4,0.4,McCarthy,73,0,0,1,0,0,0,0,1,0,0,0,5,0.0,8.8,0.0,0.9,208,81,62,34,153,54,136,63,4.0,,,,,,Midfielder
0.0,0.0,54861,0,0,0,0,0,4,0.0,0.0,0,Christian,0.0,132,False,Foot injury - Unknown return date,2020-09-06T03:00:11.019701Z,55,54861.jpg,0.0,Benteke,0.2,False,,i,Crystal Palace,31,0,103,103,1828,1828,0.0,0.0,Benteke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,403,32,405,35,391,35,407,35,,,,,3.0,,Forward
,,55037,0,0,0,0,0,3,0.9,1.4,3,Cheikhou,3.0,133,False,,,50,55037.jpg,3.0,Kouyaté,0.3,False,,a,Crystal Palace,31,3,650,650,492,492,0.6,0.6,Kouyaté,90,0,0,1,0,0,0,0,0,0,0,0,3,12.6,0.3,17.0,3.0,83,30,135,74,50,30,69,31,,,,,,,Midfielder
,,55494,0,0,0,0,0,2,1.1,1.6,6,Joel,6.0,134,False,,,45,55494.jpg,6.0,Ward,2.0,False,,a,Crystal Palace,31,6,4221,4221,2539,2539,1.3,1.3,Ward,90,0,0,1,0,0,0,0,0,0,0,0,22,13.2,0.7,0.0,1.4,78,37,122,36,154,61,124,44,,,,,,,Defender
